year,count,cumulative_total
1930,2,2
1931,0,2
1932,0,2
1933,0,2
1934,0,2
1935,0,2
1936,0,2
1937,0,2
1938,0,2
1939,0,2
1940,0,2
1941,0,2
1942,0,2
1943,0,2
1944,0,2
1945,0,2
1946,0,2
1947,0,2
1948,0,2
1949,0,2
1950,0,2
1951,0,2
1952,0,2
1953,0,2
1954,0,2
1955,0,2
1956,0,2
1957,0,2
1958,0,2
1959,0,2
1960,0,2
1961,0,2
1962,0,2
1963,0,2
1964,0,2
1965,0,2
1966,0,2
1967,0,2
1968,0,2
1969,0,2
1970,0,2
1971,0,2
1972,0,2
1973,0,2
1974,0,2
1975,0,2
1976,0,2
1977,0,2
1978,0,2
1979,0,2
1980,0,2
1981,0,2
1982,0,2
1983,0,2
1984,0,2
1985,0,2
1986,0,2
1987,0,2
1988,0,2
1989,0,2
1990,0,2
1991,0,2
1992,0,2
1993,0,2
1994,0,2
1995,0,2
1996,0,2
1997,0,2
1998,0,2
1999,0,2
2000,6,8
2001,0,8
2002,1,9
2003,0,9
2004,0,9
2005,0,9
2006,0,9
2007,0,9
2008,0,1230
2009,0,2200
2010,0,4800
2011,0,8404
2012,8,9944
2013,24,10938
2014,150,12154
2015,279,13154
2016,1047,13673
2017,1812,15627
2018,735,18231
2019,1786,21877
2020,4805,27347
2021,11090,36463
2022,16968,54694
2023,22519,109389
2024,20234,129525
