IRIS,LIBIRIS,COM,LIBCOM,DEC_PIMP18,DEC_TP6018,DEC_Q118,DEC_MED18,DEC_Q318,DEC_EQ18,DEC_D118,DEC_D218,DEC_D318,DEC_D418,DEC_D618,DEC_D718,DEC_D818,DEC_D918,DEC_RD18,DEC_S80S2018,DEC_GI18,DEC_PACT18,DEC_PTSA18,DEC_PCHO18,DEC_PBEN18,DEC_PPEN18,DEC_PAUT18,DEC_NOTE18
10040101,Les Perouses-Triangle d'Activité,1004,Ambérieu-en-Bugey,45.4,31,11150,18540,25900,0.8,5500,9490,12830,15670,21280,24160,27280,33860,6.2,7.2,0.332,68.9,63.2,3.1,2.6,27.3,3.8,0
10040102,Longeray-Gare,1004,Ambérieu-en-Bugey,39.3,39.4,8890,16180,23290,0.89,3800,7690,10230,13100,18860,21560,25200,31450,8.3,9.8,0.366,69.6,62.9,4.5,2.2,26.9,3.5,0
10040201,Centre-Saint-Germain-Vareilles,1004,Ambérieu-en-Bugey,43.7,28.8,11830,18870,26560,0.78,6770,9990,13210,16220,21490,24980,28600,35190,5.2,7.4,0.347,67.7,60.6,3.1,4,28.3,4,0
10040202,Tiret-Les Allymes,1004,Ambérieu-en-Bugey,61.1,14.6,17180,24780,33280,0.65,10380,15570,19020,21870,27830,31270,36350,44680,4.3,7.3,0.387,62.7,57.5,2.1,3.1,21.2,16.1,0
10330102,Centre Ville,1033,Valserhône,41.9,25.9,12660,19590,28730,0.82,6620,10530,13900,16820,22850,26590,31050,40890,6.2,8.6,0.365,70.2,63.8,4.1,2.3,25.8,4,0
10330103,Lancrans-Coupy-Vanchy,1033,Valserhône,46.7,21.2,14700,22970,34460,0.86,7870,12620,16130,19340,26910,31470,38430,49360,6.3,7.4,0.358,75.8,70.4,3.5,1.9,19.4,4.8,0
10330201,Arc Vouvray-Gare-Châtillon,1033,Valserhône,48.6,20.6,14850,24030,35020,0.84,8300,12610,16820,20820,27590,32380,39540,52960,6.4,8.3,0.374,71.1,64.4,3.3,3.4,25.7,3.2,0
10330202,Plateau de Musinens,1033,Valserhône,39.2,34.5,10180,17510,26160,0.91,5440,8840,11710,14430,20640,24390,29720,38410,7.1,8.7,0.375,66.8,62.2,3.6,1,31.4,1.8,0
10330301,Arlod,1033,Valserhône,36.7,29.9,11670,19410,28970,0.89,5820,10160,13000,17040,23310,26740,32230,38920,6.7,7.9,0.35,78.4,72.8,4.9,0.7,19.8,1.8,0
10330401,Châtillon-en-Michaille,1033,Valserhône,54.5,11.4,19150,27100,39570,0.75,12280,17230,21230,24020,31270,36310,43170,55040,4.5,5.7,0.323,76.2,70.6,2.9,2.7,19,4.8,0
10530101,Centre Ville,1053,Bourg-en-Bresse,48.6,28.1,11680,20220,29400,0.88,4660,9650,13680,16870,22850,26670,32120,40440,8.7,10.8,0.389,70.9,63.3,3.6,4,22.9,6.2,0
10530102,Champ de Foire,1053,Bourg-en-Bresse,51.5,26.5,12610,20200,28490,0.79,6030,10890,14200,17400,22650,26480,30870,38310,6.4,7.7,0.346,53.6,47.7,3.1,2.8,42.4,4,0
10530103,Préfecture,1053,Bourg-en-Bresse,51.7,23.8,13340,21290,32050,0.88,6510,11340,15440,18360,25140,29580,35970,50500,7.8,11.3,0.425,63.4,53.3,3,7.1,29.5,7.1,0
10530201,Citadelle,1053,Bourg-en-Bresse,48.9,27.3,12270,19530,27750,0.79,6680,10630,13740,16910,22490,25680,30010,37680,5.6,7.9,0.368,63.4,57.9,2.7,2.8,32.9,3.7,0
10530202,Mail,1053,Bourg-en-Bresse,37.8,40.9,7940,15330,24440,1.08,2240,6320,9720,12680,18580,22370,26410,33720,15.1,15.6,0.407,67.8,60.1,4.6,3.1,29.4,2.8,0
10530203,Peloux,1053,Bourg-en-Bresse,50.9,26.7,12190,19900,27250,0.76,6300,10290,14230,16870,22620,25490,30270,37590,6,7.9,0.352,67.1,60.8,3.3,3,29.4,3.5,0
10530301,Gare,1053,Bourg-en-Bresse,58.1,17.5,15910,22900,32790,0.74,8700,14240,17440,20360,26860,30610,36290,48420,5.6,7.8,0.379,66.5,59.3,2.5,4.7,28,5.5,0
10530302,Brou,1053,Bourg-en-Bresse,46.1,31.3,11080,18420,26750,0.85,5170,9130,12490,16220,21500,24750,29300,38010,7.4,11.2,0.415,67.1,61.2,3.1,2.8,29.5,3.4,0
10530401,Vennes-Ouest,1053,Bourg-en-Bresse,44.9,30.5,11280,18310,26820,0.85,5000,9520,12860,15520,21350,24720,28920,35700,7.1,8.2,0.352,62.2,54.6,3.1,4.5,35,2.8,0
10530402,Vennes-Est,1053,Bourg-en-Bresse,60.5,15,15920,22630,30330,0.64,10630,14400,17170,19750,25430,28470,32640,39830,3.7,4.7,0.29,63.1,58,2.9,2.2,34.3,2.6,0
10530501,Baudières,1053,Bourg-en-Bresse,56.6,16.4,16070,22720,31980,0.7,9100,14590,17510,20120,25420,28750,34940,44010,4.8,6.5,0.349,51,46.7,1.4,2.9,44.6,4.4,0
10530502,Sardieres,1053,Bourg-en-Bresse,49.6,27.6,11900,20130,29280,0.86,6760,10500,13890,16850,22930,26940,32220,41910,6.2,8.7,0.392,60,52.3,2.2,5.5,32.9,7.1,0
10530503,Croix Blanche,1053,Bourg-en-Bresse,21.2,59.3,5800,10980,17380,1.05,1020,4400,6910,9200,13140,15590,19200,23570,23.1,19.5,0.429,68.7,61.5,6.1,1.1,28.6,2.7,0
10530601,Pont-des-Chevres,1053,Bourg-en-Bresse,33.9,48.8,7150,13450,20800,1.02,2420,6120,8710,10590,16150,18960,23040,28490,11.8,12.4,0.388,55.9,50.1,4.7,1.1,42,2.1,0
10530602,Reyssouze-Ouest,1053,Bourg-en-Bresse,30.2,53.2,6440,12390,19290,1.04,2490,5500,7380,10510,14670,17570,20740,26150,10.5,11.9,0.384,57.8,50.5,5.8,1.5,40,2.2,0
10530603,Reyssouze-Est,1053,Bourg-en-Bresse,20.6,63.6,6110,10660,16410,0.97,1930,5370,7220,8610,12380,15010,17470,22770,11.8,11.5,0.382,63.1,,,,36.3,0.6,0
10530604,Cenord-Grand Challes,1053,Bourg-en-Bresse,,,12990,21090,28340,0.73,3690,10940,14660,18980,23970,26550,30190,37980,10.3,8.9,0.341,56,50.5,1.9,3.6,40,4,0
10530701,Granges Bardes-Alagnier,1053,Bourg-en-Bresse,51.1,25.6,12780,20570,27170,0.7,7110,11300,14530,17840,22970,25430,29160,34870,4.9,7.2,0.342,69.9,64.6,2.8,2.5,26.9,3.2,0
11730101,Centre,1173,Gex,58.9,17.4,16850,29610,49060,1.09,8670,14200,18890,24650,35800,43910,53140,68420,7.9,10.1,0.395,86.4,81,3.4,2,9.9,3.7,0
11730102,Ouest,1173,Gex,58.3,14.6,19150,34380,54210,1.02,9480,16600,21630,28400,41100,48940,60270,76430,8.1,9.5,0.381,86.1,82.1,2.8,1.2,10.8,3.1,0
11730103,Est,1173,Gex,62.5,12.5,22370,38670,56520,0.88,10510,18320,26050,32050,45760,52630,62030,78340,7.5,9.6,0.377,88,82,3.4,2.6,9.8,2.2,0
12830102,ZUS Centre,1283,Oyonnax,22.7,53.2,7390,12250,17610,0.83,3680,6300,8150,10010,14250,16540,18870,23140,6.3,7.8,0.338,72.8,64.7,7.5,0.6,26.6,0.6,0
12830103,ZUS Nord-Est,1283,Oyonnax,27.3,51.2,7360,12780,18640,0.88,3430,6620,8260,10360,15160,17550,20260,25140,7.3,8.5,0.36,63.2,56.9,5.3,1,35.2,1.6,0
12830104,ZUS Ouest,1283,Oyonnax,21,60.3,7090,11030,17040,0.9,3210,6060,7640,9390,12880,15480,18600,22610,7,9.1,0.378,72.9,64.2,7.5,1.2,25.8,1.3,0
12830201,Ville Sud,1283,Oyonnax,46.5,27.5,12150,18500,25580,0.73,5850,10260,13820,15820,21310,23750,27110,33630,5.7,8.2,0.361,61.9,55.6,4,2.3,33,5.1,0
12830202,Ville Est,1283,Oyonnax,42,29.7,11400,17440,24400,0.75,4990,9600,13160,15360,20110,22790,26860,33540,6.7,8.2,0.345,67.3,61.6,3.6,2.1,29.1,3.6,0
12830203,Nierme et Geilles,1283,Oyonnax,31.7,44.4,8110,14410,21530,0.93,4420,7230,9390,11950,17270,19740,23800,31880,7.2,9.6,0.393,64.6,56.5,5.1,3,31.8,3.6,0
12830301,Ville Ouest,1283,Oyonnax,42.2,32.1,10900,17400,24290,0.77,5610,9270,12370,14870,19690,22610,26270,34450,6.1,9,0.387,69.8,64.2,3.8,1.8,26.5,3.7,0
12830303,Ville Nord,1283,Oyonnax,46.3,31.1,10620,18140,25480,0.82,4490,9230,12500,16050,20810,23600,27750,34910,7.8,10.9,0.397,68.5,60.6,4.2,3.7,24.6,6.9,0
12830304,Exterieur Est,1283,Oyonnax,48.1,25.1,12960,19500,26310,0.68,6420,11370,14330,16960,21870,24750,28450,37850,5.9,12,0.482,57.9,51.7,2.9,3.3,19.1,23,0
12830305,Veyziat,1283,Oyonnax,71.7,,20930,27050,37130,0.6,14330,18780,21800,24170,29980,33790,40110,54460,3.8,5.8,0.366,63.6,58.2,1.9,3.5,23.5,12.9,0
21680101,Centre,2168,Château-Thierry,42.1,38.2,9220,16170,24130,0.92,4040,7600,10990,13600,19460,22430,26510,33320,8.2,12.1,0.414,67.8,57.5,4.2,6.1,26.5,5.7,0
21680201,Chesneaux,2168,Château-Thierry,55.2,21.8,13780,20910,29940,0.77,7960,12430,15610,18400,23990,27490,32170,43770,5.5,7.5,0.356,65.8,55.1,3.1,7.6,28.1,6.1,0
21680401,Mare Aubry,2168,Château-Thierry,43.3,27.1,12340,18660,26890,0.78,6050,10760,13690,16570,21120,24830,29130,36450,6,7.8,0.35,63.5,56.3,3.4,3.8,31.9,4.6,0
21680501,Vaucrises,2168,Château-Thierry,,,4330,8980,15620,1.26,400,3260,5390,7510,10990,13790,17790,21850,54.6,27.2,0.442,68.9,57.6,10.3,1,30.2,0.9,0
21680601,Gerbrois-St Martin-Le Buisson-Vincelles,2168,Château-Thierry,54.9,20.4,15160,22300,30670,0.7,8180,12890,17120,19580,24800,28460,33630,44700,5.5,6.9,0.343,59.5,50.2,2.4,6.9,35.5,5,0
21680701,Blanchard,2168,Château-Thierry,,,8320,14930,22570,0.95,2050,6420,9270,12580,17990,20980,24340,30820,15,15.1,0.394,67.2,60.9,4.3,2,31,1.8,0
21730101,Nord-Ouest,2173,Chauny,26.5,51.6,5390,12530,20030,1.17,270,3880,7010,9600,15550,18570,21800,27380,102.9,30,0.445,59.6,52.8,4.8,2,38.3,2.1,0
21730201,Sud-Ouest,2173,Chauny,40.3,34.6,9700,16920,25360,0.93,3000,8110,11570,14390,20130,23190,27360,35270,11.8,13,0.397,62.4,53.4,3.6,5.4,33.4,4.2,0
21730301,Nord-Est,2173,Chauny,47.6,27.1,12350,20260,27720,0.76,6480,10470,14060,17460,22640,25580,30440,38990,6,8.8,0.374,65.2,54.8,2.5,7.9,30.4,4.4,0
24080101,Saint-Éxupéry-Moulin Roux,2408,Laon,21,66.1,2710,8470,15830,1.55,0,1230,4140,6320,11050,14160,17820,23710,,126.4,0.492,56.9,48.7,7.4,0.8,41.5,1.6,0
24080102,Centre Social,2408,Laon,,80.6,1330,5730,10860,1.66,0,230,1930,3960,7440,9540,12860,17070,,847.8,0.521,65.2,,,,34.3,0.5,0
24080201,Cité du Nord,2408,Laon,39.1,38.8,8430,15910,22750,0.9,3390,7100,10100,13160,18420,21310,25220,31110,9.2,10.6,0.369,59.6,54.6,3.3,1.7,37.9,2.5,0
24080301,Gare Saint-Marcel,2408,Laon,44.3,32.5,10340,18870,27520,0.91,3690,8800,11940,15450,21720,25500,30060,38310,10.4,12,0.39,60.3,52.8,2.6,4.9,34.7,5,0
24080401,Individuels,2408,Laon,51.5,23.6,13410,21650,30110,0.77,7420,11410,14970,18120,24600,27960,33260,45570,6.1,8.5,0.375,56.5,49.6,2.5,4.4,37.8,5.7,0
24080402,Prevert Maraichers,2408,Laon,31.2,43.7,7590,14600,20960,0.92,2030,5980,9480,11880,16910,19470,22290,27120,13.3,12.8,0.369,64.6,59.1,4.8,0.7,34.7,0.7,0
24080501,Plateau,2408,Laon,47.5,34.3,8760,18590,29590,1.12,1370,6640,10730,14990,22180,26650,33800,44590,32.5,25.8,0.474,71.8,59,3.4,9.4,22.6,5.6,0
24080601,Vaux,2408,Laon,44.1,31.8,10670,18160,25510,0.82,4890,8470,12480,15360,20970,23730,27410,34300,7,9.5,0.366,64.9,56.2,3.3,5.4,32.1,3,0
24080801,Montreuil-La Neuville-Marquette,2408,Laon,33.9,42.6,6910,14800,22540,1.06,870,5320,8630,11950,18320,20830,24470,30950,35.6,22.1,0.414,58.4,50.7,4.2,3.5,39.4,2.2,0
24080901,Ardon-Leuilly-Semilly,2408,Laon,57.7,17,16220,22440,30120,0.62,8670,14390,17470,19910,25110,28120,33010,44600,5.1,6.7,0.349,62.7,57.4,2.1,3.2,32.3,5,0
26910101,Centre Ville 1,2691,Saint-Quentin,52.2,29.1,11100,21820,35050,1.1,2110,8960,13560,17670,26380,31790,39070,58090,27.6,25.1,0.498,70.2,51.2,2.2,16.8,22.9,6.9,0
26910102,Centre Ville 2,2691,Saint-Quentin,53.4,26,12670,23740,40260,1.16,3880,10450,15420,19070,28500,35250,45270,65300,16.8,20.5,0.487,69.7,50.1,2.2,17.4,23.2,7.1,0
26910103,Centre Ville 3,2691,Saint-Quentin,41.9,40.1,6940,16830,26630,1.17,0,5450,8770,12890,19900,23850,30600,42240,,52.5,0.521,67.3,54.8,3.2,9.3,23.6,9.1,0
