Code département;PopulationTotale
01;679498
02;521632
03;332708
04;168161
05;141661
06;1119571
07;336501
08;265737
09;155813
10;312730
11;378775
12;279470
13;2078397
14;706605
15;143567
16;349856
17;674439
18;295729
19;238962
2A;167658
2B;187870
21;537752
22;611351
23;113922
24;413192
25;552321
26;524109
27;598339
28;430422
29;931604
30;766765
31;1487804
32;193695
33;1707780
34;1243225
35;1127720
36;213871
37;616751
38;1307146
39;257483
40;434933
41;326941
42;775102
43;226900
44;1503876
45;689581
46;175800
47;330385
48;76647
49;834135
50;494200
51;562874
52;168200
53;304981
54;730320
55;178562
56;782348
57;1055259
58;198936
59;2614334
60;830176
61;272379
62;1455555
63;665094
64;706361
65;232534
66;497810
67;1170551
68;769047
69;1926989
70;232523
71;546695
72;566096
73;451819
74;866490
75;2087577
76;1255554
77;1464783
78;1473664
79;373682
80;562126
81;398772
82;267619
83;1121506
84;568715
85;717301
86;440921
87;370339
88;355431
89;328774
90;137235
91;1331827
92;1651407
93;1701072
94;1433927
95;1275704
971;378561
972;349925
973;295385
974;885700
976;320901
